rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,sma5,sma10,grade,entry_reason,skip_reason,limit_down_streak,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,expected_hold_days,momentum_decay_signal,estimated_sl_days
1,2321,東訊,,2133.9336975334,False,15.0,14.3,15.5,14.25,52639,4.958412222944395,55.400526006731056,9.3495753039562,3.298611458462442,0.5910338710464451,0.293922050911637,0.7035016752155955,96.7741935483871,97.69016328156069,10.8937529380222,10.567112473364697,0.0,0.0,1.0,0.0,0.0,240.0,-1,10,,,inf,inf,0.0489510489510489,100.0,,,,,A,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
2,2344,華邦電,,1838.970935155776,False,155.0,155.0,155.0,146.0,439027902,1.8135873728787808,73.93140385138992,27.223317728637134,9.659526207526005,10.282404122986025,2.8268735905973283,1.0757501215314975,100.0,89.11564625850345,120.85402371296009,107.99628716961496,4.0,3.0,5.0,14773809.0,10671152.0,478687.0,-1,16,,,0.2361174369835075,0.341991341991342,0.0992907801418438,55.6,,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
3,2308,台達電,,1754.4525068684131,False,2520.0,2490.0,2585.0,2490.0,13897689,1.16928826687703,73.06808711111742,41.75432540538709,118.18617583858338,107.62907519485088,15.028049743179508,1.1372737386213532,90.78014184397163,92.3594782486786,2134.935999987779,1840.1421576310288,3.0,3.0,0.0,3515995.0,296000.0,-3246.0,-1,15,,,0.210052987942557,0.3159268929503915,0.0723404255319148,40.4,,,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, above_ichimoku_cloud",long_upper_shadow,,,,,,,,,,,
4,2369,菱生,,1729.08042336639,False,40.15,38.85,41.0,36.95,90986427,4.461630872944195,74.12720865108645,20.883394219187597,2.1463486037442783,1.3357621095700305,0.944909282812716,1.2473279715310983,93.56060606060603,95.92116820377667,32.2993031194924,30.379911380971333,6.0,0.0,5.0,2453603.0,0.0,414171.0,-1,15,,,0.2858072041776072,0.3916811091854417,0.0649867374005304,78.0,,,,,A,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,,,,,,,,,,,
5,2360,致茂,,1726.1243260413958,False,2625.0,2550.0,2680.0,2495.0,2643485,0.7301823592106301,68.81298537252685,42.29124888227623,157.20180118769068,132.22041446243475,13.301693411384193,1.067003752788786,92.19858156028369,92.18134235185062,2265.26891242245,1910.108532515484,0.0,4.0,0.0,-169226.0,134171.0,-46284.0,-1,15,,,0.1653125356701315,0.271186440677966,0.05,39.0,,,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
6,2434,統懋,,1709.434124071888,False,33.2,30.7,33.2,30.4,268767,4.372776126396556,70.05162250516912,19.50924152419416,0.9552266302191008,0.1752094298833348,0.0633015303323298,1.004953267029269,100.0,70.27714213068914,30.593597014259668,30.25460933113216,9.0,0.0,0.0,5000.0,0.0,0.0,-1,15,,,0.0119712128372833,0.1178451178451178,0.0993377483443709,53.6,,,,,A,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
7,4912,聯德控股-KY,,1681.3789506512603,False,112.5,108.0,116.0,104.5,2277595,1.6903487450342742,70.37796990742234,35.83955273082763,5.666460039678876,5.482750982841552,1.248801472772973,0.8646211509552035,78.125,65.16347481021391,100.24305153351492,93.96070973672856,1.0,0.0,3.0,11749.0,0.0,1003.0,-1,15,,,-0.0136408952990967,0.0922330097087378,0.056338028169014,26.8,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
8,2492,華新科,,1638.6349149602709,False,361.0,345.0,361.0,345.0,5324682,0.2706812604757997,90.2398725283267,47.341939137288136,18.76198054507831,48.34463668474877,16.164189026669625,1.0455053584499614,100.0,99.60159362549771,234.76642643169916,177.3728924151884,11.0,7.0,7.0,2490397.0,122000.0,107731.0,-1,14,,,0.3858616321822481,0.4917355371900826,0.0989345509893455,37.8,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
9,2454,聯發科,,1611.1490467433816,False,4640.0,4475.0,4690.0,4450.0,18260840,1.5092660540419345,79.5057944506466,57.99052592975196,266.25902736710526,491.0843766201774,70.5932437747411,1.0636752746091531,96.85534591194968,94.59854813980444,3479.16734236513,2646.111350456797,2.0,0.0,6.0,2997835.0,-1279609.0,127377.0,-1,14,,,0.3306586027321034,0.436532507739938,0.0879249706916764,48.8,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,,,,,,,,,,,
10,2495,普安,,1596.7903814966674,False,50.6,47.7,50.6,47.5,27802643,2.8277803701719133,73.40842310737305,24.166634962398287,2.611134164248239,1.893217939982847,1.2528762882943774,1.1333322238239123,100.0,94.09068182416256,41.10130972393594,38.006314379630005,6.0,0.0,1.0,3458191.0,0.0,104921.0,-1,14,,,0.2434594283254987,0.3493333333333333,0.0988056460369164,74.3,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,,,,,,,,,,,
11,2481,強茂,,1568.5420285987805,False,147.5,157.5,161.5,143.0,72240943,1.6153430245255778,77.06581687069139,47.07373321521044,10.050550372340307,10.759644955778938,2.8116229208991417,0.9461710452144382,72.0,81.52688172042993,123.97788846382274,108.525012428292,2.0,0.0,4.0,1708405.0,-101000.0,353677.0,-1,14,,,0.0031486513831429,0.1090225563909774,0.0034013605442175,30.5,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",open_high_close_low,,,,,,,,,,,
12,2438,翔耀,,1537.6599436856898,False,25.3,23.5,25.3,23.5,1833017,6.20767967179865,70.38982136445281,18.496118863835637,1.0169847933082434,0.2537175271718794,0.2733281446299148,1.2259528716910484,100.0,87.7688640855716,22.418274220005696,22.263040975405016,4.0,0.0,1.0,13000.0,0.0,5197.0,-1,13,,,0.0708702810386772,0.1767441860465117,0.1,64.2,,,,,B,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
13,3037,欣興,,1523.5404584740645,False,1080.0,1105.0,1110.0,1045.0,27365393,0.881586989327553,75.46265421539863,29.084761584610124,61.07542538038345,82.76116444651791,13.68136066375108,1.0846899236482317,91.01796407185628,91.75664419193102,890.4445880552308,707.743839658899,5.0,2.0,0.0,197661.0,1050000.0,-541053.0,-1,13,,,0.2063982699617887,0.3122721749696233,-0.0046082949308755,38.5,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
