rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,entry_reason,limit_down_streak
1,6531,愛普*,,1317.6881315086252,False,1190.0,1.7688131508625304,69.32649560974866,36.70843390811954,0.0,3.0,1.0,-1,17,0.0,0.177369908263224,0.2357217030114227,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
2,6894,衛司特,,1288.7450890315636,False,389.5,2.3745089031563658,64.2644242363234,29.453109757139902,3.0,0.0,7.0,-1,17,0.0,0.0281196138989421,0.0864714086471407,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
3,6190,萬泰科,,1192.6196198354992,False,92.0,1.7619619835499247,78.95976922945431,49.06320801995534,0.0,0.0,1.0,-1,16,0.0,0.0916482052518012,0.1499999999999999,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
4,6224,聚鼎,,1171.6157142323552,False,95.0,2.6615714232355145,72.79608638088085,44.96878304297256,0.0,0.0,0.0,-1,16,0.0,0.0450163817907096,0.1033681765389082,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
5,4807,日成-KY,,1167.730243300091,False,27.9,2.2730243300090955,76.50053863147824,49.79704659077786,3.0,0.0,1.0,-1,15,0.0,0.1573344797616052,0.2156862745098038,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
6,3380,明泰,,1149.7544440445354,False,38.6,2.475444404453528,66.87244759940813,22.426652106073632,3.0,0.0,3.0,-1,15,0.0,0.0719556723089025,0.1303074670571011,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong",0
7,6667,信紘科,,1149.3595229312675,False,287.0,4.435952293126768,71.0540485326093,19.044615813198867,0.0,0.0,4.0,-1,15,0.0,0.0627419552518013,0.12109375,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
8,6141,柏承,,1143.8855195336948,False,46.0,2.888551953369487,73.90685552689557,25.784945027017528,5.0,0.0,0.0,-1,15,0.0,0.2945893817223897,0.3529411764705883,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
9,8131,福懋科,,1135.826646670674,False,73.5,1.5826646670674185,64.99198974508457,11.708949914205173,6.0,0.0,6.0,-1,15,0.0,0.0776605700122341,0.1360123647604327,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
10,3231,緯創,,1122.095103884124,False,158.5,2.209510388412393,69.3267439033678,15.488629986849782,3.0,3.0,3.0,-1,15,0.0,0.0385340184005902,0.0968858131487888,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, breakout_volume_confirm, cci_momentum, above_ichimoku_cloud",0
11,4938,和碩,,1111.7135354161092,False,88.5,2.671353541610924,71.87463334127847,21.57231040537913,3.0,0.0,0.0,-1,15,0.0,0.038302480344738,0.0966542750929366,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
12,6546,正基,,1095.3848773350755,False,84.5,2.038487733507549,71.10722054462215,25.059784516401585,10.0,0.0,3.0,-1,15,0.0,0.0126241241364655,0.0709759188846641,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
13,8070,長華*,,1090.3120649509117,False,52.5,2.0312064950911304,70.94816918036716,22.442130968724413,7.0,0.0,1.0,-1,14,0.0,0.1109132386593738,0.1692650334075724,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
14,7769,鴻勁,,1072.9925513764815,False,8260.0,1.7992551376481745,75.06254747637654,44.435915915479846,0.0,2.0,0.0,-1,15,0.0,0.0102122414743111,0.0685640362225097,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
15,6160,欣技,,1072.9635241058486,False,17.35,3.796352410584865,64.07667844496007,25.567225563974176,0.0,0.0,2.0,-1,14,0.0,0.0028102847625046,0.0611620795107032,0.0,"macd_golden_cross, above_ema60, volume_break, rsi_strong, market_above_ma60, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, williams_r_recovery, cci_momentum, mfi_strong, above_ichimoku_cloud",0
16,4939,亞電,,1064.395290961389,False,50.5,4.9395290961389104,75.84652891055714,23.74428939951951,2.0,0.0,4.0,-1,14,0.0,0.2185129334439632,0.2768647281921619,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
17,5353,台林,,1060.0,False,29.6,5.798181273269088,80.88005946379852,45.85440229691213,2.0,0.0,0.0,-1,13,0.0,0.0628603264639227,0.1212121212121213,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
18,6770,力積電,,1059.251418827151,False,88.7,2.925141882715098,80.80963312180802,28.87936591363817,0.0,6.0,2.0,-1,14,0.0,0.3319303369132436,0.3902821316614422,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
19,4933,友輝,,1058.1167099675004,False,77.3,1.311670996750036,71.75840248165358,33.93657592379126,6.0,0.0,4.0,-1,15,0.0,-0.012343675668361,0.0460081190798375,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, cci_momentum, mfi_strong, above_ichimoku_cloud",0
20,5474,聰泰,,1058.0371487638174,False,180.0,2.30371487638174,66.511557835364,36.45901095096126,2.0,0.0,1.0,-1,15,0.0,-0.0148735338786334,0.0434782608695651,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
21,4912,聯德控股-KY,,1042.1263635462028,False,115.0,1.7126363546202747,67.06362520202515,38.683218382948006,0.0,0.0,0.0,-1,14,0.0,0.0265538656291599,0.0849056603773585,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",0
22,8358,金居,,1040.8468336648102,False,608.0,1.5846833664810356,75.70924804525725,32.56979661323523,11.0,1.0,0.0,-1,14,0.0,0.1063991631062075,0.1647509578544062,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
23,6134,萬旭,,1035.0,False,36.2,5.289677968312296,70.35186539213123,18.14163400097791,8.0,0.0,1.0,-1,13,0.0,0.0782259132580809,0.1365777080062795,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
