rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,entry_reason,skip_reason,limit_down_streak
1,6531,愛普*,,1317.6881315086252,False,1190.0,1160.0,1200.0,1140.0,13570160,1.7688131508625304,69.32649560974866,36.70843390811954,92.4343537755098,94.86903148370288,0.1667389833290258,1.0241165529726184,96.91358024691358,80.74664046640221,994.3527406638154,785.7072336084353,0.0,3.0,1.0,-1481048.0,2241070.0,17172.0,-1,17,0.0,0.0,0.177369908263224,0.2357217030114227,0.0867579908675799,57.0,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
2,6894,衛司特,,1288.7450890315636,False,389.5,366.0,393.5,366.0,438575,2.3745089031563658,64.2644242363234,29.453109757139902,20.464630567450723,8.60632086288291,3.5728914474224487,1.1251908254948713,93.89312977099236,72.40882103477573,356.5488486733264,333.8078102435617,3.0,0.0,7.0,129000.0,0.0,8794.0,-1,17,0.0,0.0,0.0281196138989421,0.0864714086471407,0.0819444444444443,47.1,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
3,6190,萬泰科,,1192.6196198354992,False,92.0,87.6,92.1,85.0,17728791,1.7619619835499247,78.95976922945431,49.06320801995534,4.025273917044311,4.670895993229095,0.4314531939055905,1.27875458644877,99.3377483443709,83.98916062156907,78.66224782520874,68.16376167781347,0.0,0.0,1.0,-741.0,0.0,152591.0,-1,16,0.0,0.0,0.0916482052518012,0.1499999999999999,0.0710128055878929,43.0,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
4,6224,聚鼎,,1171.6157142323552,False,95.0,97.5,97.5,93.3,8094865,2.6615714232355145,72.79608638088085,44.96878304297256,5.666865577094557,7.045942665306072,0.4349865707053135,1.078647432157306,90.27237354085604,78.3364052153732,78.79361630457562,64.30795643565745,0.0,0.0,0.0,-615621.0,0.0,-14989.0,-1,16,0.0,0.0,0.0450163817907096,0.1033681765389082,0.0710259301014655,56.4,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",0
5,4807,日成-KY,,1167.730243300091,False,27.9,25.7,27.9,25.5,1076122,2.2730243300090955,76.50053863147824,49.79704659077786,1.6095905510316684,1.894443003299536,0.1268678766263495,1.1402848789348612,100.0,83.50827254936848,23.123140859645154,19.99261315475864,3.0,0.0,1.0,50014.0,0.0,230.0,-1,15,0.0,0.0,0.1573344797616052,0.2156862745098038,0.0984251968503937,64.1,0.0,0.0,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
6,3380,明泰,,1149.7544440445354,False,38.6,37.0,39.4,36.45,10992438,2.475444404453528,66.87244759940813,22.426652106073632,1.735577765737857,0.2624669134064632,0.7786559766806693,1.1566669079758105,90.1234567901235,81.64693450363605,34.564408696881024,34.7155620731767,3.0,0.0,3.0,2525900.0,-1000.0,440943.0,-1,15,0.0,0.0,0.0719556723089025,0.1303074670571011,0.0692520775623268,54.5,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong",,0
7,6667,信紘科,,1149.3595229312675,False,287.0,283.0,288.5,281.0,3562663,4.435952293126768,71.0540485326093,19.044615813198867,9.755668711357892,2.276064245060184,2.750853557079197,1.2093075397075554,96.20253164556962,77.17167721518975,262.5888935205822,259.92130692198776,0.0,0.0,4.0,-113373.0,0.0,27004.0,-1,15,0.0,0.0,0.0627419552518013,0.12109375,0.0708955223880596,62.0,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
8,6141,柏承,,1143.8855195336948,False,46.0,44.2,47.45,42.2,10248368,2.888551953369487,73.90685552689557,25.784945027017528,3.182828608515186,3.20293340386835,1.0767545159858232,1.1282827787352536,90.90909090909088,96.9696969696967,34.97937765050799,28.400006603063545,5.0,0.0,0.0,516000.0,0.0,-49406.0,-1,15,0.0,0.0,0.2945893817223897,0.3529411764705883,0.0648148148148146,78.1,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
9,8131,福懋科,,1135.826646670674,False,73.5,71.8,74.5,70.5,14266624,1.5826646670674185,64.99198974508457,11.708949914205173,3.835483205897464,1.3880120641070874,0.7447309781821451,1.0082393776534808,93.75,82.45435120435104,66.0505724722637,64.23285803255294,6.0,0.0,6.0,3338381.0,0.0,113666.0,-1,15,0.0,0.0,0.0776605700122341,0.1360123647604327,0.0621387283236993,38.6,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
10,3231,緯創,,1122.095103884124,False,158.5,154.0,158.5,153.0,114139019,2.209510388412393,69.3267439033678,15.488629986849782,5.893903160585751,3.049272368671609,1.3241573315588349,1.1823967403740223,100.0,79.27927927927946,142.7568453017319,138.6711356493292,3.0,3.0,3.0,16846337.0,440000.0,2273653.0,-1,15,0.0,0.0,0.0385340184005902,0.0968858131487888,0.0968858131487888,43.0,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, breakout_volume_confirm, cci_momentum, above_ichimoku_cloud",,0
